author,text,markah_penuh,markah_struktur,markah_rentak,markah_rima
Peranakan,"Bila kesbrang hujan pon rintek
Rintek habis basah bomi-nya
Bukan chantek sebarang chantek
Chantek dengan budi bahas-nya.",23.0,5,10,8
Peranakan,"Daun kadok lebat dahan-nya
Kekampong china beli delapa
Di-mana dudok lekat bahu-nya
Hati mana buleh nak-lupa.",23.0,5,8,10
Peranakan,"Betek manis telok kepayang
Makan isi buang biji-nya
Chantek manis siapa tak-sayang
Sayang badan dengan chuchi-nya.",23.0,5,9,9
Peranakan,"Naik kerita sambil menyambil
Kuda jangan tuan sesah-kan
Harta-ku ada baik di-ambil
Hati-ku jangan tuan susah-kan",23.0,5,9,9
Peranakan,"Pergi di-tasek memanching haruan
Champak jala kepala titi
Bila ashek teringat-kan tuan
Gesek biola hibor-kan hati.",23.0,5,9,9
Peranakan,"Orang itu pengibor-nya hati
Chari tak-depat sampai mati
Chari-lah tuan biar seperti
Kalau tak-dapat jangan berhanti.",23.0,5,9,9
Peranakan,"Satu lagi jadi-nay ampat
Sri Pulau Manis chuba dapat
Biar jaoh dia punya tempat
Kalau de-dengar datang melompat.",23.0,5,10,8
Peranakan,"Tembah pulak tahu biola
Lagi sedap panton di-hela
Dengar suara macham gula
Kena rupa bagi nak-gila.",23.0,5,10,8
Peranakan,"Bila sudah panton seloka
Hati senang berchampor suka
Pintu hati nampak terbuka
Rasa hilang tempat yang luka.",23.0,5,10,8
Peranakan,"Ketika berat jangan di-turot
Seperti ayer deras-nya surot
Kalan muda jadi mengarot
Rupa chantek jadi berparot",23.0,5,10,8
ahmad azamudyn,"pergi memburu bersama-sama
pemburu bertemu dengan rusa
jadilah guru biarlah lama 
agar ilmu kenang sentiasa",25.0,5,10,10
nur sumayyah,"Hendak berhijrah ke seberang,
Bekal ilmu petunjuk jalan,
Ikut marah hubungan berjurang,
Nanti dirimu hilang kawalan.
",25.0,5,10,10
CG Karmin Abbas ,"Bukan panggong sebarang panggong,
panggong kalau hendak bersemur;
Bukan gonggong sebarang gonggong,
Gonggong di Pulau Panjang Timur.",25.0,5,10,10
CG Karmin Abbas,"Rumah Cik Puan dekat Sembawang,
Rumahnya Tok Ki di Jalan Buyung;
Kaum perempuan suka membawang,
kaum lelaki sukanya mendayung.",25.0,5,10,10
CG Karmin Abbas ,"Ada kedai menjual kikir,
upah budak kukur kelapa;
Orang pandai kuat berfikir,
Kalau tidak kuatnya apa?",25.0,5,10,10
CG Karmin Abbas,"Tanah liat menguning telur,
corak asli berawan larat;
Tidak meluat melihat jalur,
niat membeli sudah tersirat.",25.0,5,10,10
CG Karmin Abbas,"Remang-remang gerhana bulan,
raut rotan orang berhuma;
Andainya memang jodoh sejalan,
jadi suratan hidup bersama.",25.0,5,10,10
CG Karmin Abbas,"Tekur terkukur di balik selasih,
kembang melati di tepi perigi;
Jikalau jujur ikatan kasih,
resah di hati tiada lagi.",24.0,5,10,9
Cikgu Pendi,"Labu sayung di tepi perigi,
di situ kikir sandar di batu;
membuat buyung seninya tinggi,
cantik berukir nampak bermutu.",24.0,5,10,9
SuhaZaliha Senij,"Berseni buyung ukiran tangan,
Sentuhan jemari gadis di desa;
Sama berpayung bermusuh jangan,
Sayangi negeri satukan bangsa.",23.0,5,8,10
SuhaZaliha Senij,"Sentuhan jemari gadis di desa,
Warna dicalit indah di pandang;
Sayangi negeri satukan bangsa,
Jangan ralit berteman radang.",23.0,5,8,10
SuhaZaliha Senij,"Warna dicalit indah dipandang,
Pasunya jatuh hingga ke bawah;
Jangan ralit berteman radang,
Agar utuh jalinan ukhwah.",25.0,5,10,10
SuhaZaliha Senij,"Pasunya jatuh hingga ke bawah,
Pecah berderai terkena kaki;
Bersatu utuh janganlah lewah,
Elak bercerai bersulam dengki.",25.0,5,10,10
SuhaZaliha Senij,"Pecah berderai terkena kaki,
Diubat luka berbalut kemas;
Elak bercerai bersulam dengki,
Negara merdeka berpayung emas.",24.0,5,9,10
CG Karmin Abbas,"Dayungku bukan sebarang dayung,
tekun ke sini sudah biasa;
Buyungku bukan sebarang buyung,
terampil seni warisan bangsa.",25.0,5,10,10
Warga Emas Pertapis,"Tanah yang rata ambinnya teduh,
bertukar ganti esok ke lusa;
Kalau kita suka menuduh,
takut nanti menanggung dosa.",25.0,5,10,10
Warga Emas Pertapis,"Tepi kebun tumbuh melata,
lotong lolong anak dan bapak;
orang rabun pimpin yang buta,
datang tolong orang yang nampak.

",25.0,5,10,10
Warga Emas Pertapis,"Sampai batas kayuh perahu,
tepi sawah menyingsing fajar;
Orang di atas kurang tahu,
orang di bawah kurang ajar.",25.0,5,10,10
CG Karmin Abbas ,"Burung dara biak melata,
andai kita memberi makan;
Lemah ketara tidak terkata,
makanan kita punca jangkitan.",24.0,5,10,8
CG Karmin Abbas,"Bukan rahsia hinggap di reban,
Diberi makan jadi teruja,
hidangan manusia membawa beban,
elakkan dimakan di mana sahaja.",25.0,5,10,10
G Karmin Abbas,"Burung merpati biaknya merata,
diberi gerangan bijian jagung;
Penyakit jangkiti bawa derita
bertubi serangan kita menanggung.
",25.0,5,10,10
CG Karmin Abbas,"Satu kati berasnya bubur,
adik-beradik jamu selera;
Masa cuti masa berlibur,
Berhibur didik pelbagai cara.
",25.0,5,8,10
CG Karmin Abbas ,"Ombak besar angin pun kencang,
layar depan berkibar-kibar;
Acara besar sudah dirancang,
Di bulan depan majlis berkhabar.",25.0,5,10,10
CG Karmin Abbas,"Rumah atap selisih-selisih,
separas tingkat angin melega;
Berdebur tetap ombakan kasih,
jauh ke dekat kan datang juga.",25.0,5,10,10
Haji Sulaiman Ahmad,"Cuaca redup pergi ke Goa,
tempat tak salah sampai selatan;
Sewaktu hidup banyak berdoa,
semoga Allah jauhkan syaitan.",25.0,5,10,10
Joel Jimmi,"Pergi ke Pitas mencarilah ikan,
bawa di tangan sehelai selendang;
pendidikan pantas diperjuangkan,
meski tantangan seribu menghadang.",25.0,5,10,10
yusen yunus,"Bunga melati di atas batu,
Jatuhlah satu berbau dupa;
Kalau hati ingin bersatu,
Mohon restu tidak dilupa.",25.0,5,10,10
nur dhaniyah binti laji,"Bulan berkata di langit Jawa,
Pantun bapa mengindah Jepara;
Racun kata menyakiti jiwa,
Hancurlah rupa diturut lara.",25.0,5,10,10
jilan adzani ramdania,"Mainnya rajin di hari Selasa,
Bermain gitar di taman bluberi,
belajar rajin setiaplah masa;
supaya pintar dan hati berseri",25.0,5,10,10
nur azza marsanda,"Kambingku bilang badannya gemuk,
Memanglah agar susunya sihat;
Siapa bilang kawanku gemuk,
Itulah agar gampang dilihat.",25.0,5,10,10
Muhammad Zulkhaslan Bin Abdul Talib,"Dijual kentang di Parit Buntar,
dengan ketumbar untuk dimakan;
Musuhmu datang, janganlah gentar,
denganlah sabar, kita lawankan.",25.0,5,10,10
Deen Mulia bin Faisal,"Cilinya manis semanis madu,
tepi perigi duduk syurgamu;
Semanis-manis kuih dan madu,
Manis lagi senyumku padamu.",25.0,5,10,10
Jericho Joshua Trioraja Kilok,"Pakai seluar membeli nabati,
Pulangnya menari langsung dimakan;
Budaya luar boleh diminati,
Budaya negeri jangan lupakan.",25.0,5,10,10
Awang Abdul Muizz bin Awang Marusin,"Bulan kenangan di malam sepi,
Dibawa cinta suara mantu.
Gitar di tangan, hati berapi,
Lagunya cinta menunggu waktu.",25.0,5,10,10
Warga Emas Pertapis,"Bunyi guruh bergulung-gulung,
kilat pula sabung-menyabung;
Belum disuruh sudah menolong,
elakkan bala ukhwah bersambung.

",25.0,5,10,8
Warga Emas Pertapis,"Cuaca enak tidak kekal,
Henti pangkas kita berehat;
Jikalau anak tunjukkan nakal,
lekas-lekas berikan nasihat.",25.0,5,10,10
CG Karmin Abbas ,"Burung elang unggas nan sasa, 
atas dahan tak akan turun;
Mari julang warisan bangsa,
agar tahan berkurun-kurun. ",25.0,5,10,10
CG Karmin Abbas ,"Asalnya kayu dibuat meja,
terjongket meja pasaknya buntu;
Bunga layu menjadi baja,
bau baja memang begitu.",25.0,5,10,10
CG Karmin Abbas ,"Niat hendak mengutip kepah,
terkutip pula anak lokan;
Niat hendak jampi serapah,
terbaca pula doa makan.",25.0,5,10,10
CG Karmin Abbas ,"Anak Sakai kutip pelepah,
jatuh kena sekali dua;
Hendak pakai jampi serapah,
Tidak guna jikalau tua.",25.0,5,10,10
CG Karmin Abbas,"Redup hari hilang tujahan,
mendung sapa berguruh juga;
Hidup mati di tangan tuhan,
tak siapa dapat menduga.",25.0,5,10,9
Warga Emas Pertapis,"Memalu-malu sebelum azan,
merata-rata ingatkan janji;
Kalau selalu baca al Quran,
nanti kita pandailah mengaji.",23.0,5,10,8
Warga Emas Pertapis,"Pohonan sukun di tepi sena,
Bergema-gema orang berdeham;
kalau tekun belajar makna,
lama-lama menjadi faham.",25.0,5,10,10
Warga Emas Pertapis,"Kalau lalu di pohon sena,
daun sukun  jatuh melayang;
Kalau selalu belajar makna,
lebih tekun ketika sembahyang.",25.0,5,10,10
ARjunah Rindu,"Dari sawah terus ke Segamat
Hendak membeli rotan sekerat
Semoga ukwah terus tersemat
Dari dunia hingga akhirat",24.0,5,10,9
ARjunah Rindu,"Kayu cendana dibuat bajak
Kayu ara dibuat palang
Walau dimana bumi dipijak
Nama negara tetap dijulang",24.0,5,9,10
YM H. Raja Muhamad Amin,"Kalau Puan pergi ke segamat
Belilah rage di Tanjung Batu
Kalau Tuan ingin selamat
Haruslah jage sholat waktu",25.0,5,10,10
YM H. Raja Muhamad Amin,"Untuk apa pasang pelita 
Kalau tidak bersumbu lagi
Untuk apa wajah jelita 
Kalau tidak berbudi tinggi 

",25.0,5,10,10
Sazali Sahri,"Kalau asal besi dari Daik,
     cepat diraut, menjadi pisau;
Kalau asal benih memang baik,
     campak ke laut, menjadi pulau.",24.0,5,10,8
CG Karmin Abbas ,"Bukanlah menempah sebarang tempah,
tempahan budiman seorang hamba;
Bukanlah  bersumpah sebarang sumpah,
Sumpah berzaman Demang dan Sapurba.",25.0,5,10,10
CG Karmin Abbas ,"Buah langsat kuningnya mencelah,
Hama tiada bertangkai lagi;
Trampil firasat menutup belah.
sengketa tiada ruang lagi.",25.0,5,10,10
ARjunah Rindu,"Biar kemas kain disulam
Kain kasa tenunan benang
Warga emas permata silam
Budi dan jasa selalu dikenang",24.0,5,9,10
ARjunah Rindu,"Kayu cendana dibuat bajak
Kayu ara dibuat palang
Walau dimana bumi dipijak
Nama negara tetap dijulang",24.0,5,9,10
Laila Manja,"Sama setaman duduk berdandan,
	  Senyum lebar menusuk sukma;
Silang zaman jadi teladan,
	  Nafas akhbar lantang bergema.",24.0,5,9,10
CG Karmin Abbas ,"Dipahat-pahat kayu nan sasa, 
pasaknya rapat bercantum senang;
Bergeser pendapat tegal biasa,
ada muafakat di hati nan tenang.",24.0,5,10,8
CG Karmin Abbas,"Bersopan santun anggunnya dayang,
di ruang limas dapat kurnia,
Tuliskan pantun buat tersayang,
warga emas seluruh dunia.",25.0,5,10,10
Warga Emas Pertapis,"Tolong tebaskan batang tebu,
dengan gentur tak putus asa;
kehendak dimakan hari rabu,
kena beratur hari selasa.",25.0,5,10,10
Warga Emas Pertapis,"Pokok sukun di bendang padi,
dalam raga berisi barang;
Kita tekun menanam budi,
emas juga dipandang orang.",25.0,5,10,10
Warga Emas Pertapis,"
Membeli cuik di dalam raga,
anyam ketupat daunnya palas;
Budi yang baik dikenang juga,
jikalau dapat cepat dibalas.",25.0,5,10,10
Warga Emas Pertapis,"
Kais kerang pungut ke baldi,
Daun talas kita bungkuskan;
Kalau orang menanam budi,
Kita balas dengan kebaikan.",25.0,5,10,10
Haji Sulaiman Ahmad,"Pergi ke kedai membeli kentang,
kentang dibeli berkati-kati;
Saya ucapkan selamat datang,
kami sambut seikhlas hati.",24.0,5,9,8
Haji Sulaiman Ahmad,"Pergi ke kedai membeli bihun,
dalam air nampak bayang-bayang;
Apa guna hidup seribu tahun,
Jikalau sehari tidak sembahyang.",24.0,5,10,8
Warga Emas Pertapis,"Tolong tumbukkan setahil cengkih,
diladung-ladung  nanti digabung;
Kami ucapkan terima kasih,
dapat berlindung di satu bumbung.",23.0,5,10,8
Warga Emas Pertapis,"Tolong petikkan daun selasih
panaskan puan minyak dicatu;
Kami ucapkan terima kasih,
kerana tuan banyak membantu.",25.0,5,10,10
CG Karmin Abbas,"bukan bantun sebarang bantun,
bantun nisan di perdu redup;
bukan pantun sebarang pantun,
beri kesan pada yang hidup.",25.0,5,10,10
CG Karmin Abbas ,"Berlipat-lipat tinggi ke bujur,
panjang seela corak selasih;
Belum terlambat memilih jujur 
bina semula ikatan kasih.",25.0,5,10,9
Haji Sulaiman Ahmad,"Bersikat rambut depan cermin,
rambut dibasuh waktu subuh;
Mempelai disambut atas pelamin,
jauhkan disusuh panjangkan jodoh.",24.0,5,10,8
Warga Emas Pertapis,"Sekilo udang di potong-potong,
belacan dipalu tercampak-campak;
Jikalau sedang memakan lontong,
mertua lalu langsung tak nampak.",25.0,5,9,10
Warga Emas Pertapis,"Nenek menganyam tudung saji,
cucu pula sibuk menyidai;
Kalau kita rajin mengkaji,
besar nanti menjadi pandai.",24.0,5,10,8
Warga Emas Pertapis,"Buah pelam si buah kundang,
petang hari dipetik nyonya;
Hari semalam tidak kau undang,
mengapa niari baru bertanya.",25.0,5,9,10
Hamba Allah,"Buah pauh mari dikerat,
waktu petang boleh dimakan;
Pada yang jauh pada yang erat,
selamat datang kami ucapkan.
",25.0,5,10,10
CG Karmin Abbas ,"Ada ubi adalah ragi,
kita bungkus berdaun pisang;
Di tepi lobi  berbagi-bagi,
sudahlah fokus kuat perangsang.",25.0,5,10,10
CG Karmin Abbas ,"Pasang anian kita tenunkan,
jalurnya lima berdaya cipta;
Satu impian kita aminkan,
tidak lama menjadi nyata.",25.0,5,10,9
CG Karmin Abbas ,"Burung perling hinggap di ambin,
terbang dikejar masuk ke jebak;
Layar keliling se Pulau Ubin 
sambil belajar angin dan ombak.",25.0,5,9,10
Haji Sulaiman Ahmad,"Angin ribut tumbangkan pokok;
dalam taman tepi sekolah;
Kalau banyak menghisap rokok,
lama-lama menghidap barah.
",23.0,5,10,6
CG Karmin Abbas,"Bukan pena sebarang pena,
pena sakti biru dan hitam;
bukan mereka bena tak bena,
kurang perhati sampai ditamtam.",25.0,5,10,9
Warga Emas Pertapis,"Melumur bedak mata terjojol,
mata terjojol tangan mengguit;
Budak-budak takuti toyol,
kerana toyol curi duit",23.0,5,10,7
Haji Sulaiman Bin Ahmad,"Udang rebus dibuat keropok,
mari digoreng di waktu pagi;
Habis berdebus membeli rokok,
kocek kering duit takda lagi.",24.0,5,10,7
Warga Emas Pertapis,"Hendak tuang hujan berhari, 
Biar saya bertudung kain; 
Hendak buang buang sendiri, 
Biar saya mencari lain.",25.0,5,10,10
Warga Emas Pertapis,"Orang hulu menenun kasa,
tidak rata bersegi-segi;
Kalau selalu bazir masa,
kelak kita juga yang rugi.",25.0,5,10,10
CG Karmin Abbas ,"Di depan tempat duduk ustazah,
kereta jingga jenama Kia;
Sudah lah dapat  segulung ijazah,
dapat juga gelaran cendekia",25.0,5,10,10
CG Karmin Abbas ,"Teduh perdu di tepi titi,
burung balam terbang melayang;
Berasyik rindu di dalam hati,
siang ke malam terbayang-bayang.",25.0,5,10,10
CG Karmin Abbas,"Bergesel-gesel berguling saja,
payah lena menjadi amalan;
Pen dan pensel teratur di meja,
tapi ke mana hilang jawapan?;",24.0,5,10,8
Hj. Sulaiman Ahmad,"Mari kita pergi memancing,
tengah panas hari Selasa;
Jikalau hati tengah runsing,
jangan lekas berputus asa.",23.0,5,10,6
Warga Emas Pertapis,"Memakai songkok ke rumah datuk,
melumur bedak sesuka hati;
Hisap rokok terbatuk-batuk,
tapi tidak mahu berhenti.",25.0,5,10,10
Warga Emas Pertapis,"Ketika mandi memakai songkok,
berlambat-lambat kerana lalai;
curi-curi menghisap rokok,
kena sebat berbilai-bilai.",25.0,5,10,9
Hj Sulaiman Ahmad,"Naik basikal pergi ke tanjung,
bawak air di dalam baldi;
Budi baik harus disanjung,
kasih sayang kekal abadi.",23.0,5,9,8
Warga Emas Pertapis,"Di bawah pokok memakan mihun,
dilempar bata di atas bukit;
hisap rokok bertahun-tahun,
kelak kita alami sakit.",25.0,5,10,10
CG Karmin Abbas ,"Mandikan dilam alus-alusi,
mulia ratna di atas luk-luk;
Pabila alam mengaku saksi,
antero buana raya takluk.",25.0,5,10,10
Awang Abdul Muizz bin Awang Marusin,"Tuah si Bahar di pekan Dalat,
Dipinang Ayu, dara berjaya;
Tun Juhar pemerintah berdaulat,
Di bawah bayu, maju dan jaya.",25.0,5,10,10
Hj. Sulaiman Ahmad,"Naiklah rakit mudik ke hulu,
di sana tempat banyak kerengga;
Jikalau adik pindah dahulu,
nantikan saya di ambang syurga",23.0,5,10,8
Warga Emas Pertapis,"Kalau mudik ikutlah arah,
jangan telat sampai Jumaat;
Jikalau adik cepat marah,
lekas solat dua rakaat.",25.0,5,10,10
Warga Emas Pertapis,"Tetak badik dapatlah tombong,
janur diraut jadi lidi;
Janganlah adik bersikap sombong,
pergi ke laut cari kedidi.",25.0,5,10,10
Hj. Sulaiman Ahmad,"Petang hari berkunang-kunang,
ia terbang sangatlah laju;
Sudah berhari saya berenang,
belum terpandang pantai dituju.",25.0,5,10,9
Warga Emas Pertapis,"Sawah nan indah cantik dipandang,
nampaknya rata dari muara;
Lihat juadah sudah terhidang,
marilah kita jamu selera.",25.0,5,10,10
Warga Emas Pertapis,"Pergi Perlis memandu kereta,
memandu kereta dengan cermat;
Hujung majlis berdoalah kita,
supaya kita mendapat rahmat.",25.0,5,10,10
Agusnadi Talah,"Pepat ilalang pohon berdiri,
batangan papan jemur serkah,
Selamat ulang tahun diberi,
dengan harapan umur berkah.",23.0,5,8,10
Mhd Chair bas budianto ,"Sungguh hitam burung merpati
Hitam juga sigula jawa
Walau hitam menarik hati
Walau hitam manis tertawa ",24.0,5,10,9
Mhd Chair bas budianto ,"Kalau menebang sipohon jati
Papan dijawa saya dirikan
Kalau mengenang kekasih hati
Harta dan benda saya berikan ",23.0,5,10,8
Mhd Chair bas budianto ,"Hendak pinang, pinanglah saja ,
mana pula tepak sirihnya; 
Hendak tunang tunanglah saja ,
bila pula majlis kawinnya.
",25.0,5,10,10
Mhd Chair bas budianto (diedit),"Mampu kanda emas perunggu, 
dalam tautan sikajang kain;
Berhiba kanda lama menunggu, 
sebab kaitan orang yang lain. ",25.0,5,10,10
HANAN NISA'_SMK TUNKU BESAR TAMPIN_TAMPIN,"Terang malam bintang kejora,
Cahaya bersemi bulan berteman,
Indahnya alam bersama pelihara,
Hargai bumi khazanah berzaman.",23.0,5,8,10
Pantun Jemput Makan,"Sungguh indah bunga kemboja, 
Di bawah atap tepi halaman; 
Juadah sudah letak di meja, 
Sudilah santap tuan budiman.",24.0,5,9,10
Pantun Jemput Makan,"Kalau tuan pikat cemara, 
Buatlah bara bakar selasih; 
Sudilah tuan jamu selera, 
Hidangan mesra pengikat kasih. ",24.0,5,9,10
Pantun Jemput Makan,"Lebat rumbia di Sungai Kedah, 
Sayang senduduk di tepi muara; 
Penganan mulia terletak sudah, 
Samalah duduk menjamu selera. ",24.0,5,9,10
Pantun Ucapan Alu-Aluan,"Duduk sekawan gadis jelita, 
Buat santapan untuk pahlawan; 
Tampillah tuan kami meminta, 
Madah ucapan kata aluan. ",23.0,5,10,7
Pantun Ucapan Alu-Aluan,"Sudilah tuan jalan berlapan, 
Jalan berlapan di malam kelam; 
Sudilah tuan beri ucapan, 
Kata aluan pemanis kalam. ",25.0,5,10,9
Pantun Jemputan Ucapan,"Pergi ke kota beli selasih, 
Sayang si dara buat halwa; 
Berilah kata simpulan kasih, 
Sulamkan mesra satukan jiwa.",24.0,5,9,10
Pantun Jemputan Ucapan,"Terbang di awan burung jentayu, 
Kerana penat gugur ke bumi; 
Tampillah tuan kami merayu, 
Bersama amanat bekalan kami. ",23.0,5,9,9
Pantun Jemputan Ucapan,"Duduk sekawan si burung unta, 
Tepi keramat di waktu malam; 
Pada mu tuan kami meminta, 
Kata azimat penutup kalam. ",24.0,5,10,9
Pantun Jemputan Ucapan,"Terbang di awan burung jentayu, 
Di atas papan batang selisih; 
Tampillah tuan kami merayu, 
Bersama ucapan pengikat kasih. ",23.0,5,9,9
Pantun Ucapan Perasmian,"Kalau tuan pikat kenari, 
Jangan patahkan batang jerami; 
Kepada tuan sembah diberi, 
Mohon rasmikan majlis kami.",23.0,5,8,10
Pantun Ucapan Perasmian,"Daun semulur di pekan sari, 
Batang jerami rebah ke bumi; 
Madah dihulur sembah diberi, 
Kata perasmi hajatnya kami. ",25.0,5,10,10
Pantun Ucapan Perasmian,"Terbang di awan burung jentayu, 
Di atas papan batang jerami; 
Tampillah tuan kami merayu, 
Bersama ucapan kata perasmi. ",23.0,5,9,9
Pantun Di Akhir Majlis,"Dari Kedah ke pekan sari, 
Beli suasa di Kota Tinggi; 
Selesai sudah tugas diberi, 
Di lain masa bersua lagi.",24.0,5,9,10
Pantun Di Akhir Majlis,"Pohon berangan tempat bertemu, 
Girangnya rasa si anak dara; 
Baliklah tuan membawa ilmu, 
Binalah bangsa bangunkan negara. ",23.0,5,9,9
Pantun Di Akhir Majlis,"Bunga dedap di atas para, 
Anak dusun pasang pelita; 
Kalau tersilap tutur bicara, 
Jemari disusun maaf dipinta. ",23.0,5,9,9
Pantun Bacaan Doa,"Lebat kemiri pohonnya rendah, 
Dahan terikat tali perkasa; 
Sepuluh jari kami menadah, 
Mohon berkat yang Maha Esa. ",24.0,5,9,10
Pantun Bacaan Doa,"Garam ada kicap pun ada, 
Sayang lada terlupa bagi; 
Pantun ada ucapan ada, 
Sayang tiada berdoa lagi. ",24.0,5,9,10
Koleksi Pantun Majlis,"Pohon beringin tepi keramat, 
Dengar siulan di ufuk barat; 
Kalau ingin hidup selamat, 
Buat bekalan untuk akhirat. ",24.0,5,9,10
Koleksi Pantun Majlis,"Timba suasa ditepi kali, 
Buat menyimbah si tuan puteri; 
Berputus asa jangan sekali, 
Jadikan tabah pakaian diri. ",24.0,5,9,10
Koleksi Pantun Majlis,"Apa guna siparang panjang, 
Kalau tidak dengan tujuan; 
Apa guna berumur panjang, 
Kalau tidak dengan amalan. ",23.0,5,10,8
Koleksi Pantun Majlis,"Pohon senduduk baru di tanam, 
Sayang mati di pijak pak tani; 
Dari duduk baik bersenam, 
Senang hati sihat jasmani. ",24.0,5,10,9
Koleksi Pantun Majlis,"Pintal kapas menjadi benang, 
Tenun benang menjadi sari; 
Barang yang lepas jangan dikenang, 
Kalau dikenang meracun diri. ",25.0,5,10,10
Koleksi Pantun Majlis,"Beli keladi di Pekan Lidup, 
Sayang rasa lemaknya kurang; 
Taburlah budi ketika hidup, 
Kelak jasa dikenang orang. ",23.0,5,8,10
Koleksi Pantun Majlis,"Pergi ke Nilai membeli jamu, 
Jamu rasa dari tenggara; 
Tidak ternilai jasa baktimu, 
Kepada bangsa juga negara. ",24.0,5,9,10
Koleksi Pantun Majlis,"Bukan gua sebarang gua, 
Gua penuh pusaka bonda; 
Bukan tua sebarang tua, 
Tua penuh ilmu di dada. ",25.0,5,10,10
Koleksi Pantun Majlis,"Anak dara ke Tanjung Batu, 
Janji bertemu di Teluk Bayu; 
Walau usia dimamah waktu, 
Cekal hatimu tak pernah layu.",23.0,5,9,9
Koleksi Pantun Majlis,"Curah serbat di atas lantai, 
Basah tikar lupa disidai; 
Dikau ibarat karang di pantai, 
Tak pernah gentar dipukul badai. ",23.0,5,10,8
Warga Emas Pertapis,"Pilin jerami sawahnya asri,
sungguh cantik sungguhlah menawan;
Tujuan kami datang ke mari,
untuk memetik bunga di taman.",25.0,5,10,8
Warga Emas Pertapis,"Ayuh tadah di tengahari,
sudah bejat air di kandang;
Tuan sudah sampai ke mari,
apa hajat datang bertandang.",25.0,5,10,10
Hj. Sulaiman Ahmad,"Pergi ke pasar membeli ikan,
seekor ikan tenggiri batang;
Sudah lama saya nantikan,
namun dikau tak kunjung datang.",23.0,5,10,8
Hj. Sulaiman Ahmad,"Waktu malam cuaca sejuk,
susah bangun tegak berdiri;
Engkau pergi kerana merajuk,
tinggalkan aku seorang diri.",23.0,5,10,8
Warga Emas Pertapis,"Beriring balam dengan merbah,
buah lakum dijolok jatuh,
Berkirim salam dengan sembah,
assalamualaikum warahmatullahi wabarakatuh",25.0,5,1,10
Haji Sulaiman Ahmad,"Buluh galah tumbuh melata,
sayang terpijak kaca botol;
Kalaulah salah apa nak dikata,
lupakan saja terima yang betol.",25.0,5,10,9
Warga Emas Pertapis,"Gunung daik berkunang-kunang,
serawan jala tebar di tanjung;
Budi baik dikenang-kenang,
jasa pula dijunjung-junjung.",25.0,5,9,10
Warga Emas Pertapis,"Baju layang sebidang dada,
tanda kurnia berawan larat;
Kasih sayang ayah dan bonda,
dari dunia sampai akhirat.",25.0,5,8,10
YM Raja Muhamad Amin,"Dendang Melayu megah berdiri
Sungguh memikat menawan sukma
Terbilang Melayu Payung Negeri 
Teguh sepakat tujuan bersama
",25.0,5,10,10
CG Karmin Abbas ,"Puteh berseh Pantai Selatan,
rase tenang pancing gelame;
Terima kaseh atas sambutan,
akan dikenang selame-lame.",25.0,5,10,10
